Class Name                                                                                                                                                                                                                                                                                        | Shallow Heap | Retained Heap | Percentage
class java.beans.PropertyChangeEvent @ 0x2b74f020                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class java.awt.Component$AWTTreeLock @ 0x2b74f080                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class sun.awt.NativeLibLoader @ 0x2b74f140                                                                                                                                                                                                                                                        |            0 |             0 |      0.00%
class sun.security.action.LoadLibraryAction @ 0x2b74f1a0                                                                                                                                                                                                                                          |            0 |             0 |      0.00%
class sun.awt.DebugHelperStub @ 0x2b74f200                                                                                                                                                                                                                                                        |            0 |             0 |      0.00%
class java.awt.Toolkit$3 @ 0x2b74f2c0                                                                                                                                                                                                                                                             |            0 |             0 |      0.00%
class java.util.ResourceBundle$1 @ 0x2b74f5c0                                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class java.util.ResourceBundle$RBClassLoader$1 @ 0x2b74f680                                                                                                                                                                                                                                       |            0 |             0 |      0.00%
class java.util.ResourceBundle$CacheKey @ 0x2b74f6e0                                                                                                                                                                                                                                              |            0 |             0 |      0.00%
class java.util.ResourceBundle$CacheKeyReference @ 0x2b74f740                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class java.util.ResourceBundle$LoaderReference @ 0x2b74f7a0                                                                                                                                                                                                                                       |            0 |             0 |      0.00%
class java.util.ListResourceBundle @ 0x2b74f860                                                                                                                                                                                                                                                   |            0 |             0 |      0.00%
class sun.awt.resources.awt @ 0x2b74f8c0                                                                                                                                                                                                                                                          |            0 |             0 |      0.00%
class java.awt.Toolkit$1 @ 0x2b74f920                                                                                                                                                                                                                                                             |            0 |             0 |      0.00%
class java.io.FileNotFoundException @ 0x2b74f9e0                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class java.awt.GraphicsEnvironment$1 @ 0x2b74faa0                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class java.awt.dnd.peer.DropTargetPeer @ 0x2b74fbc0                                                                                                                                                                                                                                               |            0 |             0 |      0.00%
class java.util.EventListener @ 0x2b74fc68                                                                                                                                                                                                                                                        |            0 |             0 |      0.00%
class sun.awt.DisplayChangedListener @ 0x2b74fcc8                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class sun.awt.windows.WObjectPeer @ 0x2b74fd28                                                                                                                                                                                                                                                    |            0 |             0 |      0.00%
class java.lang.Enum @ 0x2b74ff18                                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class java.lang.Class$4 @ 0x2b750038                                                                                                                                                                                                                                                              |            0 |             0 |      0.00%
class sun.reflect.NativeMethodAccessorImpl @ 0x2b750098                                                                                                                                                                                                                                           |            0 |             0 |      0.00%
class sun.reflect.DelegatingMethodAccessorImpl @ 0x2b7500f8                                                                                                                                                                                                                                       |            0 |             0 |      0.00%
class java.util.WeakHashMap$Entry @ 0x2b750278                                                                                                                                                                                                                                                    |            0 |             0 |      0.00%
class sun.awt.RequestFocusController @ 0x2b750338                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class java.awt.Component$DummyRequestFocusController @ 0x2b750398                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class java.awt.LayoutManager @ 0x2b7503f8                                                                                                                                                                                                                                                         |            0 |             0 |      0.00%
class java.awt.event.AWTEventListener @ 0x2b750458                                                                                                                                                                                                                                                |            0 |             0 |      0.00%
class java.awt.geom.Dimension2D @ 0x2b750518                                                                                                                                                                                                                                                      |            0 |             0 |      0.00%
class java.awt.Component$2 @ 0x2b750698                                                                                                                                                                                                                                                           |            0 |             0 |      0.00%
class java.lang.NoSuchMethodException @ 0x2b7506f8                                                                                                                                                                                                                                                |            0 |             0 |      0.00%
class sun.awt.AppContext$1 @ 0x2b7507b8                                                                                                                                                                                                                                                           |            0 |             0 |      0.00%
class sun.awt.AppContext$2 @ 0x2b750818                                                                                                                                                                                                                                                           |            0 |             0 |      0.00%
class sun.awt.MostRecentKeyValue @ 0x2b750878                                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class java.awt.geom.Point2D @ 0x2b750938                                                                                                                                                                                                                                                          |            0 |             0 |      0.00%
class sun.java2d.FontSupport @ 0x2b7509f8                                                                                                                                                                                                                                                         |            0 |             0 |      0.00%
class java.io.FilenameFilter @ 0x2b750b18                                                                                                                                                                                                                                                         |            0 |             0 |      0.00%
class sun.java2d.SunGraphicsEnvironment$TTFilter @ 0x2b750b78                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class sun.java2d.SunGraphicsEnvironment$T1Filter @ 0x2b750bd8                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class sun.awt.WindowClosingSupport @ 0x2b750c38                                                                                                                                                                                                                                                   |            0 |             0 |      0.00%
class sun.awt.WindowClosingListener @ 0x2b750c98                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class sun.awt.ComponentFactory @ 0x2b750cf8                                                                                                                                                                                                                                                       |            0 |             0 |      0.00%
class sun.awt.InputMethodSupport @ 0x2b750d58                                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class java.util.concurrent.locks.Condition @ 0x2b750e78                                                                                                                                                                                                                                           |            0 |             0 |      0.00%
class sun.awt.AWTAutoShutdown$PeerMap @ 0x2b750f98                                                                                                                                                                                                                                                |            0 |             0 |      0.00%
class sun.awt.SunToolkit$6 @ 0x2b750ff8                                                                                                                                                                                                                                                           |            0 |             0 |      0.00%
class java.awt.EventFilter @ 0x2b751178                                                                                                                                                                                                                                                           |            0 |             0 |      0.00%
class java.awt.ModalEventFilter @ 0x2b7511d8                                                                                                                                                                                                                                                      |            0 |             0 |      0.00%
class sun.reflect.UnsafeFieldAccessorFactory @ 0x2b751238                                                                                                                                                                                                                                         |            0 |             0 |      0.00%
class java.awt.peer.ContainerPeer @ 0x2b751298                                                                                                                                                                                                                                                    |            0 |             0 |      0.00%
class java.awt.peer.WindowPeer @ 0x2b7512f8                                                                                                                                                                                                                                                       |            0 |             0 |      0.00%
class java.awt.peer.PanelPeer @ 0x2b7513a8                                                                                                                                                                                                                                                        |            0 |             0 |      0.00%
class java.awt.peer.CanvasPeer @ 0x2b751458                                                                                                                                                                                                                                                       |            0 |             0 |      0.00%
class sun.awt.windows.WCanvasPeer @ 0x2b7514b8                                                                                                                                                                                                                                                    |            0 |             0 |      0.00%
class sun.awt.windows.WPanelPeer @ 0x2b751518                                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class sun.awt.windows.WToolkit$5 @ 0x2b7515f8                                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class java.awt.Paint @ 0x2b7516b8                                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class java.awt.image.BufferStrategy @ 0x2b7517d8                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class java.awt.dnd.DropTargetListener @ 0x2b751838                                                                                                                                                                                                                                                |            0 |             0 |      0.00%
class java.awt.event.ComponentListener @ 0x2b7518f8                                                                                                                                                                                                                                               |            0 |             0 |      0.00%
class java.awt.event.FocusListener @ 0x2b751958                                                                                                                                                                                                                                                   |            0 |             0 |      0.00%
class java.awt.event.HierarchyListener @ 0x2b7519b8                                                                                                                                                                                                                                               |            0 |             0 |      0.00%
class java.awt.event.HierarchyBoundsListener @ 0x2b751a18                                                                                                                                                                                                                                         |            0 |             0 |      0.00%
class java.awt.event.KeyListener @ 0x2b751a78                                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class java.awt.event.MouseListener @ 0x2b751ad8                                                                                                                                                                                                                                                   |            0 |             0 |      0.00%
class java.awt.event.MouseMotionListener @ 0x2b751b38                                                                                                                                                                                                                                             |            0 |             0 |      0.00%
class java.awt.event.MouseWheelListener @ 0x2b751b98                                                                                                                                                                                                                                              |            0 |             0 |      0.00%
class java.awt.event.InputMethodListener @ 0x2b751bf8                                                                                                                                                                                                                                             |            0 |             0 |      0.00%
class java.awt.EventQueueItem @ 0x2b751c58                                                                                                                                                                                                                                                        |            0 |             0 |      0.00%
class java.awt.event.ContainerListener @ 0x2b751cb8                                                                                                                                                                                                                                               |            0 |             0 |      0.00%
class java.awt.Component$NativeInLightFixer @ 0x2b751d18                                                                                                                                                                                                                                          |            0 |             0 |      0.00%
class sun.awt.windows.WToolkit$6 @ 0x2b751dd8                                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class java.io.DataOutput @ 0x2b751e38                                                                                                                                                                                                                                                             |            0 |             0 |      0.00%
class java.io.ObjectOutput @ 0x2b751e98                                                                                                                                                                                                                                                           |            0 |             0 |      0.00%
class java.io.DataInput @ 0x2b751fb8                                                                                                                                                                                                                                                              |            0 |             0 |      0.00%
class java.io.ObjectInput @ 0x2b752018                                                                                                                                                                                                                                                            |            0 |             0 |      0.00%
class java.awt.Shape @ 0x2b752198                                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class java.awt.geom.RectangularShape @ 0x2b7521f8                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class java.awt.im.InputContext @ 0x2b7524f8                                                                                                                                                                                                                                                       |            0 |             0 |      0.00%
class java.awt.event.WindowListener @ 0x2b752558                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class java.awt.event.WindowStateListener @ 0x2b7525b8                                                                                                                                                                                                                                             |            0 |             0 |      0.00%
class java.awt.event.WindowFocusListener @ 0x2b752618                                                                                                                                                                                                                                             |            0 |             0 |      0.00%
class java.beans.PropertyChangeListener @ 0x2b752738                                                                                                                                                                                                                                              |            0 |             0 |      0.00%
class java.awt.BufferCapabilities @ 0x2b752858                                                                                                                                                                                                                                                    |            0 |             0 |      0.00%
class sun.reflect.UnsafeQualifiedStaticFieldAccessorImpl @ 0x2b752918                                                                                                                                                                                                                             |            0 |             0 |      0.00%
class sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl @ 0x2b752978                                                                                                                                                                                                                       |            0 |             0 |      0.00%
class sun.java2d.DisposerTarget @ 0x2b7529d8                                                                                                                                                                                                                                                      |            0 |             0 |      0.00%
class sun.java2d.InvalidPipeException @ 0x2b752af8                                                                                                                                                                                                                                                |            0 |             0 |      0.00%
class java.awt.image.PackedColorModel @ 0x2b753278                                                                                                                                                                                                                                                |            0 |             0 |      0.00%
class java.awt.image.DirectColorModel @ 0x2b7532d8                                                                                                                                                                                                                                                |            0 |             0 |      0.00%
class sun.awt.color.ProfileDeferralInfo @ 0x2b7533f8                                                                                                                                                                                                                                              |            0 |             0 |      0.00%
class sun.awt.color.ProfileActivator @ 0x2b753518                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class java.awt.color.ICC_Profile$1 @ 0x2b753578                                                                                                                                                                                                                                                   |            0 |             0 |      0.00%
class sun.java2d.pipe.PixelDrawPipe @ 0x2b753638                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class sun.java2d.pipe.PixelFillPipe @ 0x2b753698                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class sun.java2d.pipe.ShapeDrawPipe @ 0x2b7536f8                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class sun.java2d.pipe.TextPipe @ 0x2b753758                                                                                                                                                                                                                                                       |            0 |             0 |      0.00%
class sun.java2d.pipe.DrawImagePipe @ 0x2b7537b8                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class sun.java2d.pipe.NullPipe @ 0x2b753818                                                                                                                                                                                                                                                       |            0 |             0 |      0.00%
class sun.java2d.pipe.LoopPipe @ 0x2b7538d8                                                                                                                                                                                                                                                       |            0 |             0 |      0.00%
class sun.java2d.pipe.GlyphListPipe @ 0x2b753998                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class sun.java2d.pipe.GlyphListLoopPipe @ 0x2b7539f8                                                                                                                                                                                                                                              |            0 |             0 |      0.00%
class sun.java2d.pipe.SolidTextRenderer @ 0x2b753a58                                                                                                                                                                                                                                              |            0 |             0 |      0.00%
class sun.java2d.pipe.AATextRenderer @ 0x2b753ab8                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class sun.java2d.pipe.LCDTextRenderer @ 0x2b753b18                                                                                                                                                                                                                                                |            0 |             0 |      0.00%
class sun.java2d.pipe.CompositePipe @ 0x2b753b78                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class sun.java2d.pipe.AlphaColorPipe @ 0x2b753bd8                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class sun.java2d.pipe.PixelToShapeConverter @ 0x2b753c38                                                                                                                                                                                                                                          |            0 |             0 |      0.00%
class sun.java2d.pipe.TextRenderer @ 0x2b753c98                                                                                                                                                                                                                                                   |            0 |             0 |      0.00%
class sun.java2d.pipe.RegionIterator @ 0x2b753db8                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class sun.java2d.pipe.DuctusShapeRenderer @ 0x2b753e78                                                                                                                                                                                                                                            |            0 |             0 |      0.00%
class sun.java2d.pipe.SpanShapeRenderer$Composite @ 0x2b753f98                                                                                                                                                                                                                                    |            0 |             0 |      0.00%
class sun.java2d.pipe.GeneralCompositePipe @ 0x2b753ff8                                                                                                                                                                                                                                           |            0 |             0 |      0.00%
class sun.java2d.loops.RenderCache @ 0x2b7540b8                                                                                                                                                                                                                                                   |            0 |             0 |      0.00%
class sun.java2d.loops.RenderCache$Entry @ 0x2b754118                                                                                                                                                                                                                                             |            0 |             0 |      0.00%
class sun.awt.image.SunVolatileImage @ 0x2b7541d8                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class java.awt.ImageCapabilities @ 0x2b754238                                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class sun.awt.image.SurfaceManager$ImageAccessor @ 0x2b754298                                                                                                                                                                                                                                     |            0 |             0 |      0.00%
class java.awt.Image$1 @ 0x2b7542f8                                                                                                                                                                                                                                                               |            0 |             0 |      0.00%
class sun.awt.image.VolatileSurfaceManager @ 0x2b7543b8                                                                                                                                                                                                                                           |            0 |             0 |      0.00%
class sun.java2d.windows.WindowsFlags$1 @ 0x2b7544d8                                                                                                                                                                                                                                              |            0 |             0 |      0.00%
class sun.java2d.windows.DDBlitLoops @ 0x2b7545f8                                                                                                                                                                                                                                                 |            0 |             0 |      0.00%
class sun.awt.ConstrainableGraphics @ 0x2b754718                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class java.awt.Graphics @ 0x2b754778                                                                                                                                                                                                                                                              |            0 |             0 |      0.00%
class java.awt.Graphics2D @ 0x2b7547d8                                                                                                                                                                                                                                                            |            0 |             0 |      0.00%
class java.awt.Composite @ 0x2b754898                                                                                                                                                                                                                                                             |            0 |             0 |      0.00%
class sun.java2d.loops.XORComposite @ 0x2b7548f8                                                                                                                                                                                                                                                  |            0 |             0 |      0.00%
class java.awt.Stroke @ 0x2b755078                                                                                                                                                                                                                                                                |            0 |             0 |      0.00%
class sun.misc.PerformanceLogger$TimeData @ 0x2b755198                                                                                                                                                                                                                                            |            0 |             0 |      0.00%
class sun.java2d.pipe.ValidatePipe @ 0x2b7551f8                                                                                                                                                                                                                                                   |            0 |             0 |      0.00%
class sun.awt.SunHints$Key @ 0x2b7552b8                                                                                                                                                                                                                                                           |            0 |             0 |      0.00%
class sun.awt.SunHints$LCDContrastKey @ 0x2b755378                                                                                                                                                                                                                                                |            0 |             0 |      0.00%
class sun.java2d.loops.CustomComponent @ 0x2b7553d8                                                                                                                                                                                                                                               |            0 |             0 |      0.00%
class sun.java2d.loops.GraphicsPrimitiveProxy @ 0x2b755438                                                                                                                                                                                                                                        |            0 |             0 |      0.00%
